iter	Passed	Remaining
1127	2231661	3703608
1128	2233775	3701854
1129	2235872	3700071
1130	2237928	3698222
1131	2240107	3696572
1132	2241966	3694396
1133	2243890	3692327
1134	2245737	3690133
1135	2247863	3688395
1136	2249839	3686413
1137	2252134	3684950
1138	2254317	3683305
1139	2256600	3681822
1140	2258643	3679945
1141	2260719	3678122
1142	2262853	3676395
1143	2264881	3674493
1144	2266958	3672671
1145	2269072	3670907
1146	2271181	3669136
1147	2273350	3667460
1148	2275417	3665620
1149	2277365	3663587
1150	2279319	3661564
1151	2281305	3659595
1152	2283363	3657738
1153	2285242	3655595
1154	2287360	3653836
1155	2289536	3652166
1156	2291734	3650532
1157	2293601	3648371
1158	2295719	3646608
1159	2297803	3644792
1160	2299790	3642821
1161	2301849	3640963
1162	2303974	3639210
1163	2305830	3637032
1164	2307881	3635161
1165	2309833	3633134
1166	2312067	3631550
1167	2314042	3629560
1168	2316251	3627935
1169	2318248	3625977
1170	2320439	3624323
1171	2322479	3622433
1172	2324295	3620193
1173	2326584	3618690
1174	2328874	3617188
1175	2330824	3615156
1176	2332926	3613359
1177	2335012	3611538
1178	2336946	3609482
1179	2338994	3607602
1180	2340902	3605505
1181	2342833	3603443
1182	2344744	3601353
1183	2346751	3599408
1184	2348743	3597442
1185	2351018	3595907
1186	2353244	3594297
1187	2355160	3592215
1188	2357221	3590351
1189	2359107	3588222
1190	2360840	3585861
1191	2362724	3583729
1192	2364438	3581341
1193	2366313	3579197
1194	2368263	3577168
1195	2370089	3574951
1196	2372018	3572889
1197	2374118	3571086
1198	2376000	3568955
1199	2377944	3566917
1200	2379828	3564788
1201	2381690	3562628
1202	2383609	3560553
1203	2386595	3560070
1204	2388984	3558694
1205	2391116	3556935
1206	2393205	3555109
1207	2395263	3553238
1208	2397151	3551115
1209	2399156	3549164
1210	2401249	3547345
1211	2403237	3545369
1212	2405357	3543590
1213	2407310	3541562
1214	2409347	3539659
1215	2411543	3537988
1216	2413379	3535789
1217	2415507	3534018
1218	2417624	3532230
1219	2419520	3530119
1220	2421390	3527972
1221	2423156	3525672
1222	2425052	3523564
1223	2427000	3521529
1224	2429184	3519838
1225	2431067	3517711
1226	2433208	3515956
1227	2435322	3514162
1228	2437256	3512108
1229	2439225	3510105
1230	2441338	3508308
1231	2443191	3506138
1232	2445287	3504316
1233	2447264	3502324
1234	2449248	3500343
1235	2451233	3498362
1236	2453332	3496543
1237	2455483	3494799
1238	2457521	3492893
1239	2459698	3491185
1240	2461759	3489311
1241	2463849	3487478
1242	2466043	3485790
1243	2467879	3483598
1244	2469862	3481613
1245	2472294	3480260
1246	2474242	3478224
1247	2476205	3476211
1248	2478185	3474221
1249	2480419	3472587
1250	2482448	3470666
1251	2484471	3468734
1252	2486696	3467085
1253	2488971	3465505
1254	2491187	3463842
1255	2493354	3462109
1256	2495446	3460273
1257	2497655	3458597
1258	2499593	3456546
1259	2501607	3454600
1260	2503443	3452409
1261	2505673	3450761
1262	2507680	3448804
1263	2509707	3446876
1264	2511708	3444912
1265	2513667	3442890
1266	2515589	3440817
1267	2517757	3439082
1268	2520160	3437666
1269	2522071	3435577
1270	2524169	3433744
1271	2526130	3431724
1272	2528337	3430037
1273	2530454	3428228
1274	2532714	3426614
1275	2534706	3424634
1276	2536773	3422756
1277	2538893	3420949
1278	2540895	3418984
1279	2542873	3416986
1280	2544915	3415073
1281	2546895	3413078
1282	2549026	3411284
1283	2551078	3409385
1284	2553152	3407514
1285	2555094	3405467
1286	2557167	3403595
1287	2559111	3401552
1288	2560899	3399300
1289	2562828	3397237
1290	2564739	3395150
1291	2566771	3393224
1292	2568863	3391376
1293	2571027	3389623
1294	2573130	3387789
1295	2575190	3385899
1296	2577167	3383898
1297	2579198	3381968
1298	2581202	3380004
1299	2583124	3377932
1300	2585393	3376313
1301	2587324	3374253
1302	2589401	3372382
1303	2591464	3370493
1304	2593371	3368401
1305	2595183	3366187
1306	2597071	3364072
1307	2599008	3362019
1308	2600892	3359900
1309	2602845	3357869
1310	2604706	3355719
1311	2606702	3353745
1312	2608678	3351744
1313	2610779	3349903
1314	2613079	3348318
1315	2615111	3346388
1316	2617191	3344520
1317	2619083	3342411
1318	2620873	3340173
1319	2622936	3338282
1320	2625018	3336415
1321	2627066	3334507
1322	2629583	3333190
1323	2631622	3331268
1324	2633545	3329198
1325	2635619	3327320
1326	2637676	3325419
1327	2639893	3323721
1328	2642166	3322091
1329	2644031	3319949
1330	2646048	3317998
1331	2647959	3315913
1332	2650044	3314046
1333	2651946	3311951
1334	2653848	3309856
1335	2655760	3307772
1336	2657870	3305937
1337	2659663	3303707
1338	2661677	3301752
1339	2663632	3299724
1340	2665394	3297456
1341	2667272	3295334
1342	2669532	3293682
1343	2671555	3291738
1344	2673485	3289679
1345	2675243	3287409
1346	2677019	3285162
1347	2678891	3283033
1348	2680856	3281018
1349	2682773	3278945
1350	2685247	3277552
1351	2688099	3276618
1352	2690130	3274682
1353	2692319	3272937
1354	2694473	3271150
1355	2696631	3269367
1356	2698663	3267431
1357	2700722	3265527
1358	2702689	3263512
1359	2704775	3261640
1360	2706910	3259828
1361	2708989	3257947
1362	2711052	3256047
1363	2713129	3254164
1364	2715152	3252215
1365	2717323	3250444
1366	2719483	3248658
1367	2721560	3246773
1368	2723590	3244832
1369	2725648	3242924
1370	2727550	3240831
1371	2729624	3238941
1372	2731619	3236959
1373	2733379	3234698
1374	2735280	3232603
1375	2737286	3230634
1376	2739166	3228516
1377	2741168	3226542
1378	2743230	3224638
1379	2745276	3222715
1380	2747357	3220834
1381	2749477	3218997
1382	2751499	3217046
1383	2753323	3214863
1384	2755234	3212781
1385	2757245	3210818
1386	2759203	3208792
1387	2761155	3206759
1388	2763020	3204626
1389	2765027	3202657
1390	2766913	3200549
1391	2768904	3198562
1392	2770882	3196559
1393	2772760	3194442
1394	2774978	3192716
1395	2776904	3190655
1396	2778934	3188712
1397	2780876	3186669
1398	2782829	3184639
1399	2784870	3182709
1400	2786686	3180522
1401	2788879	3178766
