iter	Passed	Remaining
1323	8716	4450
1324	8721	4443
1325	8729	4437
1326	8730	4427
1327	8744	4424
1328	8763	4424
1329	8777	4421
1330	8786	4416
1331	8795	4410
1332	8803	4404
1333	8815	4401
1334	8825	4396
1335	8833	4390
1336	8834	4381
1337	8835	4371
1338	8844	4366
1339	8851	4359
1340	8857	4352
1341	8863	4346
1342	8870	4339
1343	8877	4333
1344	8889	4328
1345	8895	4322
1346	8903	4316
1347	8910	4310
1348	8917	4303
1349	8924	4296
1350	8931	4290
1351	8933	4281
1352	8940	4275
1353	8947	4268
1354	8953	4261
1355	8959	4255
1356	8965	4248
1357	8967	4239
1358	8974	4232
1359	8980	4226
1360	8987	4219
1361	8991	4211
1362	8992	4202
1363	8999	4196
1364	9006	4189
1365	9012	4183
1366	9013	4173
1367	9015	4165
1368	9022	4158
1369	9031	4152
1370	9032	4144
1371	9034	4135
1372	9039	4128
1373	9045	4121
1374	9052	4114
1375	9060	4108
1376	9061	4099
1377	9068	4093
1378	9069	4084
1379	9071	4075
1380	9073	4066
1381	9075	4058
1382	9082	4051
1383	9089	4045
1384	9097	4039
1385	9098	4030
1386	9104	4023
1387	9113	4018
1388	9123	4013
1389	9135	4009
1390	9144	4003
1391	9151	3996
1392	9157	3990
1393	9165	3984
1394	9173	3978
1395	9181	3972
1396	9183	3964
1397	9184	3955
1398	9186	3946
1399	9193	3939
1400	9199	3933
1401	9200	3924
1402	9206	3917
1403	9214	3911
1404	9221	3905
1405	9229	3899
1406	9232	3891
1407	9240	3885
1408	9241	3876
1409	9248	3869
1410	9249	3861
1411	9257	3855
1412	9259	3846
1413	9266	3840
1414	9274	3834
1415	9277	3826
1416	9284	3819
1417	9286	3811
1418	9294	3805
1419	9301	3799
1420	9308	3792
1421	9315	3786
1422	9322	3780
1423	9329	3773
1424	9336	3767
1425	9342	3760
1426	9349	3754
1427	9356	3747
1428	9358	3739
1429	9360	3731
1430	9361	3722
1431	9369	3716
1432	9370	3707
1433	9378	3701
1434	9385	3695
1435	9386	3686
1436	9393	3680
1437	9403	3675
1438	9410	3668
1439	9417	3662
1440	9427	3657
1441	9434	3650
1442	9442	3644
1443	9450	3638
1444	9451	3630
1445	9459	3624
1446	9466	3617
1447	9472	3611
1448	9473	3602
1449	9481	3596
1450	9482	3587
1451	9491	3582
1452	9499	3576
1453	9504	3569
1454	9511	3562
1455	9522	3557
1456	9530	3551
1457	9538	3545
1458	9544	3539
1459	9552	3532
1460	9558	3526
1461	9566	3520
1462	9574	3514
1463	9575	3505
1464	9583	3499
1465	9591	3493
1466	9599	3487
1467	9608	3482
1468	9616	3476
1469	9617	3467
1470	9625	3461
1471	9633	3455
1472	9643	3450
